model,period,window,mae,rmse,mase
Chronos-Bolt,normal_summer,0,1106.7555338541667,1559.7129181003597,0.2509500041257942
Chronos-Bolt,normal_summer,1,1711.3234049479167,2165.417171984196,0.3880320471827303
Chronos-Bolt,normal_summer,2,2383.39892578125,3787.937500203343,0.5404210342417223
Chronos-Bolt,normal_summer,3,707.6748046875,856.9665118454872,0.1604609055241004
Chronos-Bolt,normal_summer,4,1910.7726236979167,2365.5436479115833,0.4332559297269617
Chronos-Bolt,normal_summer,5,804.4420572916666,980.7148541724804,0.18240228435388736
Chronos-Bolt,normal_summer,6,858.693359375,1012.4905003375957,0.19470343313082777
Chronos-Bolt,normal_summer,7,449.4588216145833,562.5327712842088,0.101912020937242
Chronos-Bolt,normal_summer,8,2618.9308268229165,4086.4479354124524,0.5938264428709694
Chronos-Bolt,normal_summer,9,2530.3177083333335,3332.8781787139083,0.5737339637548988
Chronos-Bolt,covid_lockdown,0,1281.9124348958333,1380.1537245094596,0.29066575317291793
Chronos-Bolt,covid_lockdown,1,449.411865234375,553.9233536334102,0.10190137386709276
Chronos-Bolt,covid_lockdown,2,1033.3443196614583,1142.6888008374558,0.2343044632262741
Chronos-Bolt,covid_lockdown,3,929.9673665364584,1018.1265557325048,0.21086437549263634
Chronos-Bolt,covid_lockdown,4,1006.2037760416666,1442.7073802218633,0.22815051203739262
Chronos-Bolt,covid_lockdown,5,1498.26171875,1696.8445480532052,0.33972162144289286
Chronos-Bolt,covid_lockdown,6,2259.6390787760415,3595.4344823295683,0.5123592507976314
Chronos-Bolt,covid_lockdown,7,1292.71044921875,2324.138121946942,0.29311413644817463
Chronos-Bolt,covid_lockdown,8,805.26953125,1347.6201125717032,0.1825899089800183
Chronos-Bolt,covid_lockdown,9,3026.5887858072915,3799.924176562046,0.6862603755324904
Chronos-Bolt,winter_storm,0,2369.24560546875,3284.262269495475,0.5372118559885566
Chronos-Bolt,winter_storm,1,5476.830078125,6447.576581532839,1.2418375049054364
Chronos-Bolt,winter_storm,2,3197.3805338541665,3609.7689905044667,0.7249863530098819
Chronos-Bolt,winter_storm,3,887.5211588541666,1007.833567961265,0.20123995919909288
Chronos-Bolt,winter_storm,4,3494.2353515625,4785.049360701233,0.7922963554900541
Chronos-Bolt,winter_storm,5,11573.689615885416,14535.20026530328,2.624262872888252
Chronos-Bolt,winter_storm,6,2376.4178059895835,2695.765993037886,0.5388381083046632
Chronos-Bolt,winter_storm,7,2476.1214192708335,2890.0472575674266,0.5614452888417728
Chronos-Bolt,winter_storm,8,4705.525390625,5042.553145045197,1.0669489151585032
Chronos-Bolt,winter_storm,9,4456.755045572917,5062.214159361182,1.0105417708456186
Chronos-Bolt,recent_2023,0,771.9510091145834,1032.4906478215055,0.1750351391942908
Chronos-Bolt,recent_2023,1,1657.9890950520833,1859.8252779955428,0.37593882073931106
Chronos-Bolt,recent_2023,2,954.11328125,1195.5052044004133,0.21633931301193027
Chronos-Bolt,recent_2023,3,1581.9261067708333,1865.779531691992,0.3586920063895081
Chronos-Bolt,recent_2023,4,4295.227213541667,4408.450222552502,0.9739163292961988
Chronos-Bolt,recent_2023,5,560.1155598958334,706.1943463757394,0.12700275514077725
Chronos-Bolt,recent_2023,6,1005.4710286458334,1432.199090660228,0.22798436607617284
Chronos-Bolt,recent_2023,7,590.052734375,761.859886183501,0.1337908251609913
Chronos-Bolt,recent_2023,8,3540.8113606770835,4123.133472235275,0.8028571788353547
