model,event_type,date,coverage_90,mae,rmse,mase
Chronos-Bolt,extreme_high,2022-07-19,0.875,739.74365234375,924.5965320312667,0.16773231931466004
Chronos-Bolt,extreme_high,2022-07-20,1.0,398.0183919270833,550.8720756466414,0.09024822017235536
Chronos-Bolt,extreme_high,2023-06-26,1.0,406.2535807291667,509.03474298203344,0.09211549853749054
Chronos-Bolt,extreme_high,2023-06-27,1.0,990.91845703125,1215.2242076828165,0.22468466004804663
Chronos-Bolt,extreme_high,2023-06-28,1.0,686.0929361979166,818.7003958032227,0.15556734970184694
Chronos-Bolt,extreme_high,2023-06-29,1.0,485.3997395833333,579.7706934416185,0.11006140283473617
Chronos-Bolt,extreme_high,2023-07-10,0.9583333333333334,1314.0924479166667,1507.308141312409,0.2979623730255641
Chronos-Bolt,extreme_high,2023-07-12,0.4583333333333333,3371.74072265625,3600.376971585054,0.7645214524612325
Chronos-Bolt,extreme_high,2023-07-13,1.0,1027.4417317708333,1173.7844899850195,0.232966087758345
Chronos-Bolt,extreme_high,2023-07-14,1.0,349.3362630208333,452.4228490010174,0.07920984712954603
Chronos-Bolt,extreme_low,2020-01-26,1.0,1000.5784505208334,1231.4308961952815,0.2268750041049895
Chronos-Bolt,extreme_low,2020-01-28,0.6666666666666666,2199.2980143229165,2617.664513474207,0.498677285891855
Chronos-Bolt,extreme_low,2020-02-02,0.5,3372.5270182291665,3655.5076488061263,0.7646997401419638
Chronos-Bolt,extreme_low,2020-02-03,1.0,1258.6368815104167,1439.3649013736488,0.2853881647268411
Chronos-Bolt,extreme_low,2020-02-09,0.9166666666666666,1375.960693359375,1679.8729987683816,0.3119906168194181
Chronos-Bolt,extreme_low,2020-02-16,1.0,2926.7918294270835,3051.022669685866,0.6636320300223112
Chronos-Bolt,extreme_low,2020-02-17,0.9583333333333334,1768.9256998697917,2129.0344826344626,0.40109301295713273
Moirai-2,extreme_high,2022-07-19,1.0,759.8024088541666,951.2478653271016,0.17228051887189907
Moirai-2,extreme_high,2022-07-20,1.0,665.9305013020834,741.2809423999195,0.15099564170895777
Moirai-2,extreme_high,2023-06-26,0.9583333333333334,1674.251953125,1892.8251238783157,0.3796263236933586
Moirai-2,extreme_high,2023-06-27,1.0,1084.0655924479167,1434.1852172706167,0.24580519959097202
Moirai-2,extreme_high,2023-06-28,1.0,926.3216145833334,1212.1988806954507,0.21003772368047663
Moirai-2,extreme_high,2023-06-29,1.0,641.22314453125,720.3928967058265,0.14539340065940445
