model,missing_rate,window,mae,rmse,mase
Chronos-Bolt,0.0,0,1051.1735026041667,1216.47879543082,0.23834712070226716
Chronos-Bolt,0.0,1,688.5192057291666,843.4466297086619,0.15611749138196768
Chronos-Bolt,0.0,2,516.2980143229166,584.688274267905,0.11706739642247645
Chronos-Bolt,0.0,3,1478.3274739583333,1597.7362765353184,0.33520165415138753
Chronos-Bolt,0.0,4,1615.6834309895833,1723.2198407267747,0.3663462718463703
Chronos-Bolt,0.0,5,729.1883138020834,837.1898643404259,0.16533896127889222
Chronos-Bolt,0.0,6,1595.9669596354167,2133.3056383757685,0.3618756833412071
Chronos-Bolt,0.0,7,967.7786458333334,1326.1563708521064,0.21943785030735785
Chronos-Bolt,0.0,8,439.5275065104167,578.2708259957525,0.09966015637444545
Chronos-Bolt,0.0,9,592.5257161458334,683.0281987622195,0.13435155855387754
Chronos-Bolt,0.05,0,976.4117838541666,1144.8368664104482,0.22139536120807327
Chronos-Bolt,0.05,1,672.9651692708334,827.2739210369848,0.15259070936552846
Chronos-Bolt,0.05,2,504.5208333333333,575.8442015491287,0.11439699313329299
Chronos-Bolt,0.05,3,1507.68701171875,1623.1116844532962,0.34185874860155074
Chronos-Bolt,0.05,4,1564.5237630208333,1662.5444977639656,0.354746132072844
Chronos-Bolt,0.05,5,725.36083984375,840.4115324551666,0.1644711051207303
Chronos-Bolt,0.05,6,1593.7693684895833,2121.5124267274414,0.36137739307723776
Chronos-Bolt,0.05,7,971.1505533854166,1331.3055198410873,0.22020240958736464
Chronos-Bolt,0.05,8,451.62939453125,574.3852143988248,0.10240418498407171
Chronos-Bolt,0.05,9,600.5940755208334,693.4282118970781,0.13618100937342179
Chronos-Bolt,0.1,0,1052.73388671875,1213.8619911924825,0.23870092819454042
Chronos-Bolt,0.1,1,651.9430338541666,816.7282874174773,0.14782406957184782
Chronos-Bolt,0.1,2,472.4309895833333,538.1253695898378,0.10712081860772726
Chronos-Bolt,0.1,3,1481.6458333333333,1595.7226982715551,0.33595407171188274
Chronos-Bolt,0.1,4,1474.0240885416667,1566.0569349468842,0.3342258879997546
Chronos-Bolt,0.1,5,731.2734375,825.4382747198714,0.16581175024139486
Chronos-Bolt,0.1,6,1589.4065755208333,2122.770366076364,0.3603881566288822
Chronos-Bolt,0.1,7,955.5252278645834,1278.6080563987312,0.21665946321485827
Chronos-Bolt,0.1,8,445.5008138020833,583.7035859671671,0.10101456703121285
Chronos-Bolt,0.1,9,607.0836588541666,699.3602874244679,0.1376524824444471
Chronos-Bolt,0.2,0,1081.00439453125,1242.09689503257,0.2451110918080706
Chronos-Bolt,0.2,1,699.5685221354166,876.291483149194,0.1586228558576072
Chronos-Bolt,0.2,2,433.2490234375,492.0705579571698,0.09823654898793856
Chronos-Bolt,0.2,3,1481.6183268229167,1595.1568510386408,0.3359478347799756
Chronos-Bolt,0.2,4,1591.6072591145833,1705.9758363961962,0.3608871480863795
Chronos-Bolt,0.2,5,738.1241861979166,877.6847239423732,0.1673651153355092
Chronos-Bolt,0.2,6,1602.8702799479167,2091.6952421869723,0.36344096872529796
Chronos-Bolt,0.2,7,963.7350260416666,1258.3839488293734,0.2185209844120791
Chronos-Bolt,0.2,8,507.7311197916667,638.2440856518116,0.1151249058252298
Chronos-Bolt,0.2,9,677.9521484375,771.3972115581404,0.15372147619177787
Chronos-2,0.0,0,803.2766927083334,939.5635623303756,0.1821380451085889
Chronos-2,0.0,1,1071.24462890625,1164.4630161146245,0.24289812503361827
Chronos-2,0.0,2,882.7457682291666,980.5932389486788,0.20015716877212952
Chronos-2,0.0,3,1412.0646158854167,1550.9133697260052,0.3201769589968238
Chronos-2,0.0,4,745.6385091145834,942.3088713284237,0.1690689417987691
Chronos-2,0.0,5,831.7897135416666,1173.2781299329608,0.18860319705668538
Chronos-2,0.0,6,725.8746744791666,842.2992520461523,0.1645876139611503
