model,window,day_type,season,forecast_hour,mae,rmse,mase
Chronos-Bolt,0,weekend,summer,0,2663.0768229166665,3401.4913915917464,0.6038362757229311
Chronos-Bolt,1,weekend,summer,0,1634.0436197916667,1742.1088905922622,0.3705093316321101
Chronos-Bolt,2,weekday,summer,0,946.2386067708334,1127.9762992386786,0.21455377905019402
Chronos-Bolt,3,weekday,summer,0,3043.2958984375,3313.2610442180103,0.6900486104725773
Chronos-Bolt,4,weekday,summer,0,2849.4816080729165,3191.935730010354,0.6461024132511781
Chronos-Bolt,5,weekday,summer,0,2262.1931966145835,3536.739508420149,0.5129383812943977
Chronos-Bolt,6,weekday,summer,0,1075.1487630208333,1246.7920527245599,0.24378336341029072
Chronos-Bolt,7,weekend,summer,0,610.1638997395834,971.7729667901583,0.13835090810328426
Chronos-Bolt,8,weekend,summer,0,1323.2981770833333,1773.8552995229861,0.30004971544373205
Chronos-Bolt,9,weekday,summer,0,806.0968424479166,1011.1104858060331,0.18277749670122673
Chronos-Bolt,10,weekday,summer,0,1317.55126953125,1536.9570560861437,0.2987466395342007
Chronos-Bolt,11,weekday,summer,0,2100.9427083333335,2597.886241225848,0.4763758257329651
Chronos-Bolt,12,weekday,summer,0,1473.4527994791667,1609.8947389244952,0.3340963517216823
Chronos-Bolt,13,weekday,summer,0,831.8740234375,889.1868385846419,0.18862231380655475
Chronos-Bolt,14,weekend,summer,0,513.8688151041666,615.8674975522081,0.1165165904537502
Chronos-Bolt,15,weekend,summer,0,1682.6707356770833,2301.490236655568,0.381535230811105
Chronos-Bolt,16,weekday,summer,0,1064.50244140625,1219.9148915989292,0.24136937552282992
Chronos-Bolt,17,weekday,summer,0,1700.5851236979167,1815.9878237289138,0.38559720801404135
Chronos-Bolt,18,weekday,summer,0,669.6507161458334,755.3658518380591,0.1518391775231739
Chronos-Bolt,19,weekday,summer,0,568.7062174479166,651.3062637182334,0.12895063385671293
Chronos-Bolt,20,weekday,summer,0,1264.30126953125,1388.4869559578171,0.28667252984065084
Chronos-Bolt,21,weekend,summer,0,1042.2628580729167,1191.916357501011,0.23632668690864195
Chronos-Bolt,22,weekend,summer,0,1785.35595703125,2079.8225540256067,0.404818472624
Chronos-Bolt,23,weekday,summer,0,1469.76611328125,1537.0216739516652,0.3332604183215068
Chronos-Bolt,24,weekday,summer,0,1005.0325520833334,1169.1968143169815,0.22788494421488315
Chronos-Bolt,25,weekday,summer,0,559.18603515625,685.3463597338357,0.1267919911282214
Chronos-Bolt,26,weekday,summer,0,578.1915690104166,757.5107944734987,0.13110137893178353
Chronos-Bolt,27,weekday,summer,0,390.431640625,495.569303634818,0.08852797101857064
Chronos-Bolt,28,weekend,summer,0,992.8294270833334,1119.3861353959494,0.22511796074344465
Chronos-Bolt,29,weekend,summer,0,3193.2425130208335,3923.6327481486674,0.7240480822595371
Moirai-2,0,weekend,summer,0,2991.0069986979165,3925.915789868903,0.6781924243465536
Moirai-2,1,weekend,summer,0,468.1267903645833,515.7499459193133,0.10614486793148165
Moirai-2,2,weekday,summer,0,2311.7848307291665,2665.8279577919116,0.5241829790442919
Moirai-2,3,weekday,summer,0,4489.842122395833,4805.997531966037,1.0180440618315116
