model,context_length,horizon,period,window_idx,mae,rmse,mase,inference_seconds,timestamp
SeasonalNaive,24,24,summer_2023,0,4255.458333333333,4751.927288830641,0.9648989805257749,5.4999953135848045e-05,2026-02-09T09:51:57.591494
SeasonalNaive,24,24,summer_2023,1,3921.0416666666665,4383.653275712698,0.8890720600246552,2.650008536875248e-05,2026-02-09T09:51:57.591494
SeasonalNaive,24,24,summer_2023,2,3210.1666666666665,4274.213660624217,0.7278855299138147,2.2900057956576347e-05,2026-02-09T09:51:57.591494
SeasonalNaive,24,24,summer_2023,3,2760.0,3182.661412507882,0.6258130094684997,2.1399930119514465e-05,2026-02-09T09:51:57.591494
SeasonalNaive,24,24,summer_2023,4,3353.5416666666665,3680.484495959737,0.7603949285487952,2.0999927073717117e-05,2026-02-09T09:51:57.591494
SeasonalNaive,24,24,summer_2023,5,2861.3333333333335,3998.8868346912077,0.6487897189948794,2.210005186498165e-05,2026-02-09T09:51:57.591494
SeasonalNaive,24,24,summer_2023,6,3609.9166666666665,3993.0584038637185,0.8185263815569425,2.010003663599491e-05,2026-02-09T09:51:57.591494
SeasonalNaive,24,24,summer_2023,7,1967.625,2225.6003403576306,0.4461468560708176,2.0200153812766075e-05,2026-02-09T09:51:57.591494
SeasonalNaive,24,24,summer_2023,8,1875.7083333333333,2134.9534245505215,0.4253053177422018,1.8300022929906845e-05,2026-02-09T09:51:57.591494
SeasonalNaive,24,24,summer_2023,9,3136.7083333333335,4221.755119812928,0.7112293050392229,2.0300038158893585e-05,2026-02-09T09:51:57.591494
SeasonalNaive,24,24,winter_2022,0,3171.25,3407.594716218465,0.7190614153177463,2.3700064048171043e-05,2026-02-09T09:51:57.591494
SeasonalNaive,24,24,winter_2022,1,2722.0,3178.05728131721,0.6171967433961073,2.1399930119514465e-05,2026-02-09T09:51:57.591494
SeasonalNaive,24,24,winter_2022,2,3117.3333333333335,3394.4402459512135,0.7068361430615229,2.1799933165311813e-05,2026-02-09T09:51:57.591494
SeasonalNaive,24,24,winter_2022,3,1007.75,1123.3675563530694,0.228501108801406,2.029980532824993e-05,2026-02-09T09:51:57.591494
SeasonalNaive,24,24,winter_2022,4,1790.7916666666667,2326.844026788216,0.4060509863216583,2.0300038158893585e-05,2026-02-09T09:51:57.591494
SeasonalNaive,24,24,winter_2022,5,1023.2083333333334,1303.7039381444445,0.23200619072339895,2.00001522898674e-05,2026-02-09T09:51:57.591494
